place_id,name,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,index_jan,index_feb,index_mar,index_apr,index_may,index_jun,index_jul,index_aug,index_sep,index_oct,index_nov,index_dec
n6237091288,n6237091288 (via Imphal),0.3,0.77,1.66,4.35,5.84,7.25,7.53,6.15,5.42,3.66,0.77,0.51,0.0157,0.0402,0.0867,0.2273,0.3051,0.3788,0.3934,0.3213,0.2832,0.1912,0.0402,0.0266
n6237092078,n6237092078 (via Churachandpur),0.29,0.71,1.57,4.05,5.41,6.87,7.04,5.65,5.01,3.62,0.72,0.5,0.0152,0.0371,0.082,0.2116,0.2827,0.3589,0.3678,0.2952,0.2618,0.1891,0.0376,0.0261
n6237093988,n6237093988 (via Churachandpur),0.29,0.71,1.57,4.05,5.41,6.87,7.04,5.65,5.01,3.62,0.72,0.5,0.0152,0.0371,0.082,0.2116,0.2827,0.3589,0.3678,0.2952,0.2618,0.1891,0.0376,0.0261
n6237756760,n6237756760 (via Churachandpur),0.29,0.71,1.57,4.05,5.41,6.87,7.04,5.65,5.01,3.62,0.72,0.5,0.0152,0.0371,0.082,0.2116,0.2827,0.3589,0.3678,0.2952,0.2618,0.1891,0.0376,0.0261
n6237756762,n6237756762 (via Churachandpur),0.29,0.71,1.57,4.05,5.41,6.87,7.04,5.65,5.01,3.62,0.72,0.5,0.0152,0.0371,0.082,0.2116,0.2827,0.3589,0.3678,0.2952,0.2618,0.1891,0.0376,0.0261
n6237756763,n6237756763 (via Churachandpur),0.29,0.71,1.57,4.05,5.41,6.87,7.04,5.65,5.01,3.62,0.72,0.5,0.0152,0.0371,0.082,0.2116,0.2827,0.3589,0.3678,0.2952,0.2618,0.1891,0.0376,0.0261
n6240163841,n6240163841 (via Udaipur),0.34,0.72,1.82,5.52,10.66,14.62,15.11,11.82,9.72,6.02,1.32,0.65,0.0178,0.0376,0.0951,0.2884,0.5569,0.7638,0.7894,0.6176,0.5078,0.3145,0.069,0.034
n6240165555,n6240165555 (via Udaipur),0.34,0.72,1.82,5.52,10.66,14.62,15.11,11.82,9.72,6.02,1.32,0.65,0.0178,0.0376,0.0951,0.2884,0.5569,0.7638,0.7894,0.6176,0.5078,0.3145,0.069,0.034
n6240253864,n6240253864 (via Lumding),0.28,0.75,1.57,4.67,6.53,7.91,7.76,7.14,5.84,2.95,0.69,0.37,0.0146,0.0392,0.082,0.244,0.3412,0.4133,0.4054,0.373,0.3051,0.1541,0.0361,0.0193
n6241313902,n6241313902 (via Silchar),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n6241313911,n6241313911 (via Silchar),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n6241719589,n6241719589 (via Silchar),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n6241719875,n6241719875 (via Silchar),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n6241720546,n6241720546 (via Silchar),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n6241720705,n6241720705 (via Silchar),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n6241720722,n6241720722 (via Silchar),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n6241720725,n6241720725 (via Silchar),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n6241720736,n6241720736 (via Silchar),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n6241720740,n6241720740 (via Silchar),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n6241721427,n6241721427 (via Silchar),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n6241721431,n6241721431 (via Silchar),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n6241721439,n6241721439 (via Silchar),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n6241721442,n6241721442 (via Silchar),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n6246892055,n6246892055 (via Silchar),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n6247256785,n6247256785 (via Haflong),0.27,0.9,2.05,6.15,8.22,10.1,9.79,8.14,7.01,4.29,0.79,0.58,0.0141,0.047,0.1071,0.3213,0.4295,0.5277,0.5115,0.4253,0.3662,0.2241,0.0413,0.0303
n6247256856,n6247256856 (via Haflong),0.27,0.9,2.05,6.15,8.22,10.1,9.79,8.14,7.01,4.29,0.79,0.58,0.0141,0.047,0.1071,0.3213,0.4295,0.5277,0.5115,0.4253,0.3662,0.2241,0.0413,0.0303
n6247256860,n6247256860 (via Haflong),0.27,0.9,2.05,6.15,8.22,10.1,9.79,8.14,7.01,4.29,0.79,0.58,0.0141,0.047,0.1071,0.3213,0.4295,0.5277,0.5115,0.4253,0.3662,0.2241,0.0413,0.0303
n6247259744,n6247259744 (via Silchar),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n6247259750,n6247259750 (via Silchar),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n6247259759,n6247259759 (via Silchar),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n6247259771,n6247259771 (via Silchar),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n6247259902,n6247259902 (via Silchar),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n6251241590,n6251241590 (via Haflong),0.27,0.9,2.05,6.15,8.22,10.1,9.79,8.14,7.01,4.29,0.79,0.58,0.0141,0.047,0.1071,0.3213,0.4295,0.5277,0.5115,0.4253,0.3662,0.2241,0.0413,0.0303
n6251241624,n6251241624 (via Haflong),0.27,0.9,2.05,6.15,8.22,10.1,9.79,8.14,7.01,4.29,0.79,0.58,0.0141,0.047,0.1071,0.3213,0.4295,0.5277,0.5115,0.4253,0.3662,0.2241,0.0413,0.0303
n6251457193,n6251457193 (via Lumding),0.28,0.75,1.57,4.67,6.53,7.91,7.76,7.14,5.84,2.95,0.69,0.37,0.0146,0.0392,0.082,0.244,0.3412,0.4133,0.4054,0.373,0.3051,0.1541,0.0361,0.0193
n6251457203,n6251457203 (via Lumding),0.28,0.75,1.57,4.67,6.53,7.91,7.76,7.14,5.84,2.95,0.69,0.37,0.0146,0.0392,0.082,0.244,0.3412,0.4133,0.4054,0.373,0.3051,0.1541,0.0361,0.0193
n6251457365,n6251457365 (via Haflong),0.27,0.9,2.05,6.15,8.22,10.1,9.79,8.14,7.01,4.29,0.79,0.58,0.0141,0.047,0.1071,0.3213,0.4295,0.5277,0.5115,0.4253,0.3662,0.2241,0.0413,0.0303
n6251457713,n6251457713 (via Haflong),0.27,0.9,2.05,6.15,8.22,10.1,9.79,8.14,7.01,4.29,0.79,0.58,0.0141,0.047,0.1071,0.3213,0.4295,0.5277,0.5115,0.4253,0.3662,0.2241,0.0413,0.0303
n6251457871,n6251457871 (via Haflong),0.27,0.9,2.05,6.15,8.22,10.1,9.79,8.14,7.01,4.29,0.79,0.58,0.0141,0.047,0.1071,0.3213,0.4295,0.5277,0.5115,0.4253,0.3662,0.2241,0.0413,0.0303
n6251548682,n6251548682 (via Imphal),0.3,0.77,1.66,4.35,5.84,7.25,7.53,6.15,5.42,3.66,0.77,0.51,0.0157,0.0402,0.0867,0.2273,0.3051,0.3788,0.3934,0.3213,0.2832,0.1912,0.0402,0.0266
n6251548725,n6251548725 (via Imphal),0.3,0.77,1.66,4.35,5.84,7.25,7.53,6.15,5.42,3.66,0.77,0.51,0.0157,0.0402,0.0867,0.2273,0.3051,0.3788,0.3934,0.3213,0.2832,0.1912,0.0402,0.0266
n6251824457,n6251824457 (via Jowai),0.24,0.91,2.27,8.05,10.63,14.29,13.77,11.14,9.1,4.75,0.68,0.51,0.0125,0.0475,0.1186,0.4206,0.5554,0.7466,0.7194,0.582,0.4754,0.2482,0.0355,0.0266
n6251827971,n6251827971 (via Jowai),0.24,0.91,2.27,8.05,10.63,14.29,13.77,11.14,9.1,4.75,0.68,0.51,0.0125,0.0475,0.1186,0.4206,0.5554,0.7466,0.7194,0.582,0.4754,0.2482,0.0355,0.0266
n6251828237,n6251828237 (via Jowai),0.24,0.91,2.27,8.05,10.63,14.29,13.77,11.14,9.1,4.75,0.68,0.51,0.0125,0.0475,0.1186,0.4206,0.5554,0.7466,0.7194,0.582,0.4754,0.2482,0.0355,0.0266
