id,name,state,lat,lon,kind,population,has_market,has_coldstore
n1132376475,n1132376475,,26.788617,88.360726,junction,0,0,0
n1132376482,n1132376482,,26.78932,88.319583,junction,0,0,0
n1132376484,n1132376484,,26.806599,88.278626,junction,0,0,0
n1132376793,n1132376793,,26.804178,88.296016,junction,0,0,0
n1132377210,n1132377210,,26.803851,88.29682,junction,0,0,0
n1132377575,n1132377575,,26.469259,88.703295,junction,0,0,0
n1132378037,n1132378037,,26.789811,88.316381,junction,0,0,0
n1132378633,n1132378633,,26.806753,88.277362,junction,0,0,0
n1132379103,n1132379103,,26.69868,88.311688,junction,0,0,0
n1132413484,n1132413484,,26.464034,88.82355,junction,0,0,0
n1132413540,n1132413540,,26.412729,88.92055,junction,0,0,0
n1132413550,n1132413550,,26.465309,88.839226,junction,0,0,0
n1132413584,n1132413584,,26.322625,89.441308,junction,0,0,0
n1132413679,n1132413679,,26.326784,89.442246,junction,0,0,0
n1132413760,n1132413760,,26.416987,88.918568,junction,0,0,0
n1132413773,n1132413773,,26.329024,89.442804,junction,0,0,0
n1132413980,n1132413980,,26.477372,88.852747,junction,0,0,0
n1132414018,n1132414018,,26.319918,89.439034,junction,0,0,0
n1133013607,n1133013607,,26.525744,88.12086,junction,0,0,0
n1133013618,n1133013618,,26.527199,88.117826,junction,0,0,0
n1133013855,n1133013855,,26.52335,88.143379,junction,0,0,0
n11332450380,n11332450380,,26.293193,89.382897,junction,0,0,0
n1133639868,n1133639868,,26.156981,90.561105,junction,0,0,0
n1133639875,n1133639875,,27.457147,95.019603,junction,0,0,0
n1133640064,n1133640064,,27.49263,94.9292,junction,0,0,0
n1133640104,n1133640104,,27.467447,95.018788,junction,0,0,0
n1133640141,n1133640141,,26.140958,90.641271,junction,0,0,0
n1133640550,n1133640550,,27.48494,95.006608,junction,0,0,0
n1133640592,n1133640592,,26.077918,90.666325,junction,0,0,0
n1133672628,n1133672628,,26.372125,92.732207,junction,0,0,0
n1133672936,n1133672936,,26.358609,92.656188,junction,0,0,0
n1133695009,n1133695009,,27.294468,95.736687,junction,0,0,0
n1133695888,n1133695888,,27.289748,95.696484,junction,0,0,0
n11345580667,n11345580667,,26.578707,92.920968,junction,0,0,0
n11357444667,n11357444667,,26.112767,93.035855,junction,0,0,0
n11357607107,n11357607107,,26.074001,91.470949,junction,0,0,0
n11508722833,n11508722833,,24.431551,92.546167,junction,0,0,0
n11510712718,n11510712718,,26.74703,93.231785,junction,0,0,0
n11511548232,n11511548232,,27.220872,93.596932,junction,0,0,0
n11515932609,n11515932609,,24.925334,93.837025,junction,0,0,0
n11601635471,n11601635471,,24.065217,91.622256,junction,0,0,0
n11601635472,n11601635472,,24.064468,91.622325,junction,0,0,0
n11601646224,n11601646224,,23.97729,92.307039,junction,0,0,0
n11601646256,n11601646256,,23.948459,92.307941,junction,0,0,0
n11634841520,n11634841520,,25.866969,91.495632,junction,0,0,0
n1165274315,n1165274315,,26.608926,89.427098,junction,0,0,0
n1165274367,n1165274367,,26.609554,89.425668,junction,0,0,0
n11665421808,n11665421808,,26.239783,90.919289,junction,0,0,0
n11665421894,n11665421894,,26.224303,90.861987,junction,0,0,0
n11717021281,n11717021281,,27.499961,92.095801,junction,0,0,0
n11717021298,n11717021298,,27.500093,92.083387,junction,0,0,0
n11764392028,n11764392028,,24.58996,92.318849,junction,0,0,0
n11764392058,n11764392058,,24.652162,92.32878,junction,0,0,0
n11764392064,n11764392064,,24.591076,92.319077,junction,0,0,0
n11765014004,n11765014004,,26.502039,90.968479,junction,0,0,0
n11809768200,n11809768200,,26.394237,89.892381,junction,0,0,0
n11809810081,n11809810081,,26.398227,89.88026,junction,0,0,0
n11809854207,n11809854207,,26.367586,89.910361,junction,0,0,0
n11809854219,n11809854219,,26.362444,89.910687,junction,0,0,0
n11825693990,n11825693990,,26.450183,90.012663,junction,0,0,0
n11829398739,n11829398739,,26.882657,88.589122,junction,0,0,0
n11831908535,n11831908535,,26.873304,88.913285,junction,0,0,0
n11845352299,n11845352299,,26.504182,89.529236,junction,0,0,0
n11845352312,n11845352312,,26.508553,89.530823,junction,0,0,0
n11845395712,n11845395712,,26.516321,89.532272,junction,0,0,0
n11851453958,n11851453958,,26.56015,89.517228,junction,0,0,0
n11851455153,n11851455153,,26.564083,89.47746,junction,0,0,0
n1185176909,n1185176909,,27.27635,92.886788,junction,0,0,0
n1185176969,n1185176969,,27.285812,92.822504,junction,0,0,0
n1185178063,n1185178063,,27.275409,92.887367,junction,0,0,0
n11870034547,n11870034547,,26.442521,89.257565,junction,0,0,0
n11870079664,n11870079664,,26.51444,89.214437,junction,0,0,0
n11870079665,n11870079665,,26.514204,89.215525,junction,0,0,0
n11871412310,n11871412310,,26.523276,89.486798,junction,0,0,0
n11887138344,n11887138344,,26.55081,90.15248,junction,0,0,0
n11902051012,n11902051012,,26.486987,89.607113,junction,0,0,0
n11917706361,n11917706361,,26.512353,90.522964,junction,0,0,0
n11920760339,n11920760339,,26.499782,90.968392,junction,0,0,0
n11926973525,n11926973525,,26.475839,90.8005,junction,0,0,0
n11926973527,n11926973527,,26.484973,90.801242,junction,0,0,0
n11926973545,n11926973545,,26.618613,90.854914,junction,0,0,0
n11926973561,n11926973561,,26.612445,90.844413,junction,0,0,0
n11926976110,n11926976110,,26.621656,90.832858,junction,0,0,0
n11926976685,n11926976685,,26.568951,90.736848,junction,0,0,0
n11927115270,n11927115270,,26.594954,90.607231,junction,0,0,0
n11931554258,n11931554258,,26.629578,90.829436,junction,0,0,0
n11935315896,n11935315896,,26.575934,90.376034,junction,0,0,0
n11982693536,n11982693536,,26.522485,91.333259,junction,0,0,0
n11982707862,n11982707862,,26.146624,91.677576,junction,0,0,0
n12035912363,n12035912363,,26.06416,92.594141,junction,0,0,0
n12035912470,n12035912470,,26.062402,92.602644,junction,0,0,0
n12042507706,n12042507706,,26.165861,92.215031,junction,0,0,0
n12051472955,n12051472955,,26.658831,91.372645,junction,0,0,0
n12066034887,n12066034887,,26.360431,92.40683,junction,0,0,0
n12066034908,n12066034908,,26.366952,92.412777,junction,0,0,0
n12072966690,n12072966690,,26.111393,91.767248,junction,0,0,0
n12083846937,n12083846937,,27.32715,95.68432,junction,0,0,0
n12083857079,n12083857079,,27.370029,95.740839,junction,0,0,0
n12084959797,n12084959797,,24.039255,92.122465,junction,0,0,0
n12084998550,n12084998550,,23.968857,92.048314,junction,0,0,0
n12086064850,n12086064850,,27.878653,95.743373,junction,0,0,0
n12086070092,n12086070092,,27.842776,95.738061,junction,0,0,0
n12086238930,n12086238930,,27.540911,95.843975,junction,0,0,0
n12086690139,n12086690139,,24.206097,91.979339,junction,0,0,0
n12089656745,n12089656745,,27.823853,95.706394,junction,0,0,0
n12090190084,n12090190084,,26.791685,94.307563,junction,0,0,0
n12090190090,n12090190090,,26.786225,94.290723,junction,0,0,0
n12090190092,n12090190092,,26.78419,94.284461,junction,0,0,0
n12090192261,n12090192261,,26.689145,93.935786,junction,0,0,0
n12090677122,n12090677122,,26.709707,92.210347,junction,0,0,0
n12091039166,n12091039166,,26.54851,92.90625,junction,0,0,0
n12091082694,n12091082694,,26.554446,92.886593,junction,0,0,0
n12091833832,n12091833832,,26.558138,93.896276,junction,0,0,0
n12095105668,n12095105668,,26.648445,92.827192,junction,0,0,0
n12097804860,n12097804860,,27.113088,95.157271,junction,0,0,0
n12097814911,n12097814911,,26.924563,94.786608,junction,0,0,0
n12101473848,n12101473848,,27.122122,94.98841,junction,0,0,0
n12102204594,n12102204594,,27.558259,95.831779,junction,0,0,0
n12102220244,n12102220244,,27.556637,95.81658,junction,0,0,0
n12102220275,n12102220275,,27.566731,95.801436,junction,0,0,0
n12102224708,n12102224708,,27.559196,95.821552,junction,0,0,0
n12102224718,n12102224718,,27.559667,95.817296,junction,0,0,0
n12104042598,n12104042598,,26.121927,89.503669,junction,0,0,0
n1210734360,n1210734360,,24.181293,92.092932,junction,0,0,0
n12118121182,n12118121182,,26.426536,94.110487,junction,0,0,0
n12128291383,n12128291383,,26.510584,94.065701,junction,0,0,0
n12128302701,n12128302701,,26.678684,94.15387,junction,0,0,0
n12128302717,n12128302717,,26.698407,94.167903,junction,0,0,0
n12128327487,n12128327487,,26.382667,94.134191,junction,0,0,0
n12133486634,n12133486634,,27.857747,95.769697,junction,0,0,0
n12133486640,n12133486640,,27.858006,95.791356,junction,0,0,0
n12144936298,n12144936298,,26.784864,94.71745,junction,0,0,0
n12144952913,n12144952913,,26.785748,94.706647,junction,0,0,0
n12144953505,n12144953505,,26.788652,94.658734,junction,0,0,0
n12148183321,n12148183321,,26.793266,94.765628,junction,0,0,0
n12150302845,n12150302845,,26.044044,92.884959,junction,0,0,0
n12151055816,n12151055816,,24.286106,92.033836,junction,0,0,0
n12156186810,n12156186810,,26.069818,92.896598,junction,0,0,0
n12162651114,n12162651114,,23.147463,91.498384,junction,0,0,0
n12162651135,n12162651135,,23.148331,91.500084,junction,0,0,0
n12168558903,n12168558903,,26.071088,92.976956,junction,0,0,0
n12168590761,n12168590761,,26.061468,92.988056,junction,0,0,0
n12168637865,n12168637865,,25.886468,93.14894,junction,0,0,0
n12168645142,n12168645142,,25.847819,93.338379,junction,0,0,0
n12168645556,n12168645556,,25.868709,93.220582,junction,0,0,0
n12168646101,n12168646101,,25.881919,93.14861,junction,0,0,0
n12178545755,n12178545755,,26.081595,92.979244,junction,0,0,0
n12188885953,n12188885953,,25.52945,92.635292,junction,0,0,0
n12193152862,n12193152862,,26.185918,89.865444,junction,0,0,0
n12193152869,n12193152869,,26.198947,89.862498,junction,0,0,0
n12195743656,n12195743656,,25.131199,93.152046,junction,0,0,0
n12195811774,n12195811774,,25.100814,93.160951,junction,0,0,0
n12198712182,n12198712182,,25.916816,92.953848,junction,0,0,0
n12202303594,n12202303594,,24.841509,92.385447,junction,0,0,0
n12216993186,n12216993186,,25.01068,92.754393,junction,0,0,0
n12222989996,n12222989996,,24.80645,92.763134,junction,0,0,0
n12223051904,n12223051904,,24.794874,92.771312,junction,0,0,0
n12247857903,n12247857903,,24.468225,92.309098,junction,0,0,0
n12269691195,n12269691195,,24.46558,92.706657,junction,0,0,0
n12269696748,n12269696748,,24.416842,92.688644,junction,0,0,0
n12269700074,n12269700074,,24.426674,92.690854,junction,0,0,0
n12269700094,n12269700094,,24.432774,92.692645,junction,0,0,0
n12269716944,n12269716944,,24.442097,92.696693,junction,0,0,0
n12269716950,n12269716950,,24.446043,92.697916,junction,0,0,0
n12269717037,n12269717037,,24.478961,92.707773,junction,0,0,0
n12296248629,n12296248629,,25.662049,91.636689,junction,0,0,0
n12296248636,n12296248636,,25.666651,91.634424,junction,0,0,0
n12296272662,n12296272662,,25.724447,91.671595,junction,0,0,0
n12299451329,n12299451329,,25.924276,91.471636,junction,0,0,0
n12299451330,n12299451330,,25.920829,91.471354,junction,0,0,0
n12299451335,n12299451335,,25.915909,91.469868,junction,0,0,0
n12302763205,n12302763205,,24.605619,92.316466,junction,0,0,0
n12308500558,n12308500558,,24.333929,92.298991,junction,0,0,0
n12323398497,n12323398497,,23.504955,93.199756,junction,0,0,0
n12323398605,n12323398605,,23.522235,93.194911,junction,0,0,0
n12328420095,n12328420095,,24.843946,92.406375,junction,0,0,0
